"# of Use","# Penggunaan"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s and above"
"%s-%s of %s","%s-%s of %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data dari: %s)"
"(Will make search for the query above return results for this search.)","(Akan melakukan pencarian untuk permintaan atas hasil kembali untuk pencarian ini.)"
"* Required Fields","* Bidang Yang Harus Diisi"
"-- Please Select --","- Silahkan Pilih -"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","A group with the same name already exists."
"A name is required","Nama harus diisi"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","SEMUA KELOMPOK"
"AM","AM"
"Action","Tindakan"
"Actual Price","Harga sebenarnya"
"Add","Tambah"
"Add Attribute","Tambah Atribut"
"Add Design Change","Tambah Desain Ganti"
"Add Group","Tambah Grup"
"Add Group Price","Tambah Group Harga"
"Add Items to Cart","Tambah Produk to Cart"
"Add New","Tambah Baru"
"Add New Attribute","Tambah Atribut Baru"
"Add New Attribute Set","Tambah Atribut Set Baru"
"Add New Group","Tambah Grup Baru"
"Add New Images","Tambah Gambar Baru"
"Add New Option","Tambah Opsi Baru"
"Add New Row","Tambah Row Baru"
"Add New Search Term","Tambah Cari Term Baru"
"Add New Set","Tambah Set Baru"
"Add Option","Tambah Option"
"Add Product","Tambah Produk"
"Add Product To Websites","Tambah Produk Untuk Website"
"Add Root Category","Tambah Akar Kategori"
"Add Subcategory","Tambah Subkategori"
"Add Tax","Tambah Pajak"
"Add Tier","Tambah Tier"
"Add attribute into attribute set","Tambah attribute into attribute set"
"Add group into attribute set","Tambah group into attribute set"
"Add new custom option into product","Tambah new custom option into product"
"Add new values into custom option","Tambah new values into custom option"
"Add option","Tambah option"
"Add to Cart","Tambah ke Cart"
"Add to Compare","Tambah ke Bandingkan"
"Add to My Wishlist","Tambah ke Daftar Keinginan Saya"
"Add to Wishlist","Tambah ke Daftar Keinginan"
"Additional Information","Informasi Tambahan"
"Alert Urls","Alert Urls"
"All","Semua"
"All Product Types","Semua Jenis Produk"
"All Websites","Semua Websites"
"All products","Semua produk"
"All products - recently added products, New products - products marked as new","Semua produk - recently added products, New products - products marked as new"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Semua produk dari himpunan ini akan dihapus! Apakah Anda yakin ingin menghapus atribut ini diatur?"
"Allow All Products per Page","Allow semua produk per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products dan Categories"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"Allow HTML-tags on Front-end","Biarkan HTML-tag pada Front-end"
"Allowed File Extensions","Diizinkan Ekstensi File"
"Allowed file extensions to upload","Diizinkan ekstensi file untuk meng-upload"
"Amount","Jumlah"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product."
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving this group.","An error occurred while saving this group."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Terapkan Untuk"
"Apply To Configurable/Grouped Product","Terapkan Untuk Dikonfigurasi / Dikelompokkan Produk"
"Approved","Disetujui"
"Are you sure you want to delete this category?","Apakah Anda yakin ingin menghapus kategori ini?"
"Are you sure you would like to remove all products from your comparison?","Apakah Anda yakin ingin menghapus semua produk dari perbandingan Anda?"
"Are you sure you would like to remove this item from the compare products?","Apakah Anda yakin ingin menghapus item ini dari produk membandingkan?"
"Are you sure?","Apa kamu yakin?"
"As low as:","Serendah:"
"Assign","Menetapkan"
"Assign product link","Menetapkan link produk"
"Assign product to category","Menetapkan produk untuk kategori"
"Assigned Products","Produk ditugaskan"
"Associated Products","Associated Produk"
"Attrib. Set Name","Attrib. Set Nama"
"Attribute ""%s"" is invalid.","Atribut ""%s"" is invalid."
"Attribute ""%s"" is required.","Atribut ""%s"" is required."
"Attribute Code","Atribut Kode"
"Attribute Information","Atribut Informasi"
"Attribute Label","Atribut Label"
"Attribute Model","Atribut Model"
"Attribute Name:","Nama Atribut:"
"Attribute Properties","Atribut Properti"
"Attribute Set","Atribut Set"
