"Add","Tambah"
"Add gift message for shopping cart","Tambah gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Tambah gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Tambah gift messages to produk of shopping cart"
"Add gift options","Tambah gift options"
"Add gift options for Individual Items","Tambah gift options for Individual Items"
"Add gift options for the Entire Order","Tambah gift options for the Entire Order"
"Add gift options.","Tambah gift options."
"Allow Gift Messages for Order Items","Allow Gift Messages for Pesanan Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Pesanan Level"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Are you sure?"
"Cancel","Membatalkan"
"Do you have any gift items in your order?","Do you have any gift items in your Pesanan?"
"Edit","Mengedit"
"From","From"
"Gift Message","Gift Message"
"Gift Message API","Gift Message API"
"Gift Options","Gift Options"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Gift Options for the Entire Pesanan."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Item %d of %d"
"Message","Message"
"No","Tidak"
"OK","OK"
"Save Gift Message","Save Gift Message"
"The gift message has been removed","The gift message has been removed"
"The gift message has been saved","The gift message has been saved"
"The gift message has been saved.","The gift message has been saved."
"To","To"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","Ya"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
