"Actions","Actions"
"Add Answer","Tambah Answer"
"Add New Answer","Tambah Answer Baru"
"Add New Poll","Tambah Poll Baru"
"Answer Title","Answer Title"
"Answer Title:","Answer Title:"
"Answer with the same title in this poll","Answer with the same title in this poll"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Assigned Answers","Assigned Answers"
"Closed","Tutup"
"Community Poll","Community Poll"
"Date Closed","Date Closed"
"Date Posted","Date Posted"
"Delete","Menghapus"
"Delete Answer","Menghapus Answer"
"Delete Poll","Menghapus Poll"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","Mengedit Answer '%s'"
"Edit Poll '%s'","Mengedit Poll '%s'"
"Edit Poll Answer","Mengedit Poll Answer"
"ID","ID"
"Invalid Answer.","Invalid Answer."
"New Poll","New Poll"
"Number of Responses","Number of Responses"
"Open","Buka"
"Poll Answers","Poll Answers"
"Poll Information","Poll Information"
"Poll Manager","Poll Manager"
"Poll Question","Poll Question"
"Poll information","Poll information"
"Poll with the same question","Poll with the same question"
"Polls","Polls"
"Save Answer","Simpan Answer"
"Save Poll","Simpan Poll"
"Status","Status"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","Visible In"
"Vote","Vote"
"Votes Count","Votes Count"
"Votes Count:","Votes Count:"
